"ID";"Geslacht";"Arbeidsmarktpositie";"Peilmoment";"Studiekenmerken";"Persoonskenmerken";"Perioden";"HboTotaal_1";"HboVoltijd_2";"HboDeeltijd_3";"HboTotaal_4";"HboVoltijd_5";"HboDeeltijd_6";"HboTotaal_7";"HboTotaalVoltijd_8";"HboTotaalDeeltijd_9";"HboBachelorTotaal_10";"HboBachelorVoltijd_11";"HboBachelorDeeltijd_12";"HboMasterTotaal_13";"HboMasterVoltijd_14";"HboMasterDeeltijd_15";"HboAssociateDegreeTotaal_16";"HboAssociateDegreeVoltijd_17";"HboAssociateDegreeDeeltijd_18"
"7";"3";"00";"01";"00";"00";"2013SJ00";"90950";"74050";"16890";"37220";"29490";"7720";"53730";"44560";"9170";"49550";"43010";"6540";"3290";"1020";"2270";"890";"530";"360"
"15";"3";"00";"01";"00";"01";"2013SJ00";"3060";"3050";"10";"3050";"3040";"10";"10";"10";"0";;;"0";"0";"0";"0";;;"0"
"23";"3";"00";"01";"00";"02";"2013SJ00";"36370";"35460";"910";"15930";"15250";"680";"20440";"20210";"230";"20040";"19870";"170";"170";"130";"30";"240";"200";"30"
"31";"3";"00";"01";"00";"03";"2013SJ00";"30560";"27300";"3260";"9360";"7830";"1530";"21200";"19470";"1730";"20250";"18980";"1260";"700";"320";"380";"250";"170";"80"
"39";"3";"00";"01";"00";"04";"2013SJ00";"7640";"5070";"2580";"3200";"2110";"1090";"4440";"2960";"1480";"3790";"2740";"1050";"540";"160";"380";"110";"60";"50"
"47";"3";"00";"01";"00";"05";"2013SJ00";"6800";"2140";"4660";"2970";"910";"2060";"3830";"1230";"2600";"2910";"990";"1920";"790";"200";"590";"140";"40";"100"
"55";"3";"00";"01";"00";"06";"2013SJ00";"6510";"1030";"5480";"2700";"360";"2340";"3810";"670";"3130";"2560";"420";"2140";"1100";"210";"890";"150";"40";"110"
"63";"3";"00";"01";"00";"07";"2013SJ00";"69370";"55850";"13520";"25370";"19700";"5670";"44010";"36150";"7850";"40540";"35010";"5530";"2730";"710";"2020";"750";"440";"310"
"71";"3";"00";"01";"00";"08";"2013SJ00";"13990";"12010";"1980";"8460";"7090";"1370";"5530";"4930";"600";"5260";"4790";"470";"170";"70";"90";"100";"70";"40"
"79";"3";"00";"01";"00";"09";"2013SJ00";"7590";"6190";"1400";"3390";"2710";"680";"4200";"3480";"720";"3760";"3220";"540";"400";"240";"160";"50";"20";"20"
"87";"3";"00";"01";"00";"10";"2013SJ00";"87620";"71080";"16540";"35690";"28160";"7530";"51940";"42920";"9020";"48040";"41620";"6410";"3020";"780";"2240";"890";"530";"360"
"95";"3";"00";"01";"00";"11";"2013SJ00";"1750";"1520";"220";"750";"640";"110";"1000";"890";"120";"820";"730";"90";"180";"150";"30";;;
"103";"3";"00";"01";"00";"12";"2013SJ00";"1570";"1450";"130";"780";"700";"90";"790";"750";"40";"690";"660";"40";"100";"90";;;;"0"
"111";"3";"00";"01";"01";"00";"2013SJ00";"16230";"9090";"7140";"6700";"3730";"2970";"9540";"5360";"4170";"7350";"5120";"2220";"2140";"230";"1910";"50";;"40"
"119";"3";"00";"01";"01";"01";"2013SJ00";"410";"410";;"410";"410";;;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"127";"3";"00";"01";"01";"02";"2013SJ00";"4720";"4510";"210";"2040";"1900";"150";"2680";"2610";"70";"2520";"2490";"30";"150";"120";"30";;;
"135";"3";"00";"01";"01";"03";"2013SJ00";"4220";"3020";"1200";"1370";"930";"440";"2850";"2090";"760";"2420";"2000";"420";"430";"90";"340";;;
"143";"3";"00";"01";"01";"04";"2013SJ00";"1560";"600";"960";"610";"250";"360";"950";"350";"600";"640";"340";"300";"310";"10";"300";;;
"151";"3";"00";"01";"01";"05";"2013SJ00";"2170";"300";"1870";"890";"140";"750";"1280";"160";"1120";"770";"150";"620";"500";;"500";;;
"159";"3";"00";"01";"01";"06";"2013SJ00";"3160";"270";"2890";"1380";"110";"1270";"1780";"160";"1630";"1000";"140";"860";"760";"10";"750";"20";;"20"
"167";"3";"00";"01";"01";"07";"2013SJ00";"13580";"7630";"5950";"5150";"2840";"2310";"8430";"4790";"3650";"6460";"4560";"1910";"1930";"220";"1710";"40";;"30"
"175";"3";"00";"01";"01";"08";"2013SJ00";"1580";"980";"600";"1040";"640";"400";"540";"340";"200";"460";"330";"120";"80";;"80";;;
"183";"3";"00";"01";"01";"09";"2013SJ00";"1070";"490";"580";"510";"250";"260";"560";"240";"320";"430";"230";"200";"130";;"130";;"0";
"191";"3";"00";"01";"01";"10";"2013SJ00";"15990";"9000";"6980";"6560";"3670";"2890";"9430";"5330";"4100";"7260";"5090";"2170";"2120";"230";"1890";"50";;"40"
"199";"3";"00";"01";"01";"11";"2013SJ00";"170";"60";"110";"90";"30";"50";"90";"30";"60";"70";"30";"40";"20";"0";"20";"0";"0";"0"
"207";"3";"00";"01";"01";"12";"2013SJ00";"70";"30";"40";"50";"20";"30";"20";;"10";"20";;"10";;"0";;"0";"0";"0"
"215";"3";"00";"01";"02";"00";"2013SJ00";"2010";"1690";"320";"730";"590";"150";"1280";"1110";"170";"1200";"1070";"130";;"0";;"70";"40";"30"
"223";"3";"00";"01";"02";"01";"2013SJ00";"80";"80";"0";"80";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"231";"3";"00";"01";"02";"02";"2013SJ00";"890";"870";"20";"350";"340";;"550";"530";"10";"510";"510";;"0";"0";"0";"30";"20";"10"
"239";"3";"00";"01";"02";"03";"2013SJ00";"640";"600";"50";"160";"130";"30";"480";"460";"20";"470";"450";"20";;"0";;"20";"10";
"247";"3";"00";"01";"02";"04";"2013SJ00";"120";"90";"30";"40";"20";"20";"80";"70";;"70";"70";;"0";"0";"0";;;
"255";"3";"00";"01";"02";"05";"2013SJ00";"100";"30";"70";"40";;"30";"70";"20";"40";"60";"20";"40";"0";"0";"0";;"0";
"263";"3";"00";"01";"02";"06";"2013SJ00";"180";"30";"150";"70";;"60";"110";"20";"80";"90";"20";"70";;"0";;"10";;"10"
"271";"3";"00";"01";"02";"07";"2013SJ00";"1800";"1500";"300";"650";"510";"140";"1150";"990";"160";"1080";"950";"130";;"0";;"70";"40";"30"
"279";"3";"00";"01";"02";"08";"2013SJ00";"90";"80";;"50";"40";;"40";"40";"0";"40";"40";"0";"0";"0";"0";;;"0"
"287";"3";"00";"01";"02";"09";"2013SJ00";"120";"110";"10";"40";"30";;"80";"80";;"80";"80";;;"0";;;"0";
"295";"3";"00";"01";"02";"10";"2013SJ00";"1940";"1620";"320";"720";"570";"150";"1220";"1050";"170";"1150";"1020";"130";;"0";;"70";"40";"30"
"303";"3";"00";"01";"02";"11";"2013SJ00";"40";"40";"0";"10";"10";"0";"30";"30";"0";"30";"30";"0";"0";"0";"0";"0";"0";"0"
"311";"3";"00";"01";"02";"12";"2013SJ00";"30";"30";;;;;"30";"30";"0";"30";"30";"0";"0";"0";"0";"0";"0";"0"
"319";"3";"00";"01";"03";"00";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"327";"3";"00";"01";"03";"01";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"335";"3";"00";"01";"03";"02";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"343";"3";"00";"01";"03";"03";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"351";"3";"00";"01";"03";"04";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"359";"3";"00";"01";"03";"05";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"367";"3";"00";"01";"03";"06";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"375";"3";"00";"01";"03";"07";"2013SJ00";;;"0";"0";"0";"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"383";"3";"00";"01";"03";"08";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"391";"3";"00";"01";"03";"09";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"399";"3";"00";"01";"03";"10";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"407";"3";"00";"01";"03";"11";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"415";"3";"00";"01";"03";"12";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"423";"3";"00";"01";"04";"00";"2013SJ00";"14150";"12690";"1450";"5910";"5150";"760";"8240";"7540";"700";"8160";"7510";"650";"0";"0";"0";"80";"30";"50"
"431";"3";"00";"01";"04";"01";"2013SJ00";"590";"590";;"590";"590";;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"439";"3";"00";"01";"04";"02";"2013SJ00";"6010";"5890";"110";"2770";"2680";"90";"3240";"3220";"20";"3230";"3210";"10";"0";"0";"0";"10";;
"447";"3";"00";"01";"04";"03";"2013SJ00";"5220";"4900";"320";"1490";"1310";"180";"3740";"3600";"140";"3720";"3590";"130";"0";"0";"0";"20";"10";
"455";"3";"00";"01";"04";"04";"2013SJ00";"1120";"870";"260";"490";"360";"130";"630";"510";"120";"620";"500";"110";"0";"0";"0";"10";;
"463";"3";"00";"01";"04";"05";"2013SJ00";"800";"330";"470";"380";"170";"210";"420";"160";"260";"400";"150";"240";"0";"0";"0";"20";;"20"
"471";"3";"00";"01";"04";"06";"2013SJ00";"400";"110";"290";"190";"60";"130";"220";"60";"160";"210";"60";"150";"0";"0";"0";"10";;
"479";"3";"00";"01";"04";"07";"2013SJ00";"11020";"9880";"1140";"4220";"3650";"560";"6810";"6220";"580";"6740";"6200";"540";"0";"0";"0";"70";"20";"40"
"487";"3";"00";"01";"04";"08";"2013SJ00";"1990";"1800";"200";"1150";"1020";"130";"840";"780";"60";"840";"780";"60";"0";"0";"0";;;
"495";"3";"00";"01";"04";"09";"2013SJ00";"1130";"1020";"110";"550";"490";"60";"590";"530";"50";"580";"530";"50";"0";"0";"0";;;
"503";"3";"00";"01";"04";"10";"2013SJ00";"13670";"12250";"1420";"5660";"4920";"740";"8010";"7330";"690";"7930";"7300";"630";"0";"0";"0";"80";"30";"50"
"511";"3";"00";"01";"04";"11";"2013SJ00";"190";"180";"10";"110";"110";;"80";"70";;"80";"70";;"0";"0";"0";"0";"0";"0"
"519";"3";"00";"01";"04";"12";"2013SJ00";"290";"270";"20";"140";"130";"10";"150";"140";;"150";"140";;"0";"0";"0";"0";"0";"0"
"527";"3";"00";"01";"05";"00";"2013SJ00";"9670";"8550";"1120";"2950";"2520";"430";"6720";"6030";"690";"6160";"5600";"550";"400";"380";"20";"160";"40";"120"
"535";"3";"00";"01";"05";"01";"2013SJ00";"360";"360";"0";"360";"360";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"543";"3";"00";"01";"05";"02";"2013SJ00";"4430";"4380";"50";"1320";"1290";"30";"3110";"3090";"20";"3100";"3090";"20";"0";"0";"0";;;"0"
"551";"3";"00";"01";"05";"03";"2013SJ00";"2730";"2520";"210";"670";"570";"100";"2060";"1950";"110";"2010";"1920";"90";"30";"30";"0";"30";;"20"
"559";"3";"00";"01";"05";"04";"2013SJ00";"620";"460";"160";"170";"110";"60";"450";"350";"100";"370";"290";"80";"60";"60";;"20";;"20"
"567";"3";"00";"01";"05";"05";"2013SJ00";"690";"390";"310";"190";"80";"110";"510";"310";"200";"340";"180";"160";"120";"120";;"40";;"40"
"575";"3";"00";"01";"05";"06";"2013SJ00";"840";"440";"400";"250";"110";"140";"590";"330";"260";"330";"130";"210";"190";"180";;"60";"20";"40"
"583";"3";"00";"01";"05";"07";"2013SJ00";"8110";"7160";"950";"2210";"1870";"340";"5900";"5290";"610";"5390";"4900";"490";"370";"350";"10";"140";"40";"100"
"591";"3";"00";"01";"05";"08";"2013SJ00";"950";"870";"80";"510";"470";"50";"440";"400";"40";"420";"400";"20";;;;"10";;
"599";"3";"00";"01";"05";"09";"2013SJ00";"610";"520";"90";"230";"190";"40";"380";"340";"50";"340";"310";"30";"30";"30";;"10";;
"607";"3";"00";"01";"05";"10";"2013SJ00";"9510";"8400";"1110";"2880";"2450";"430";"6630";"5950";"680";"6080";"5530";"550";"400";"380";"20";"160";"40";"120"
"615";"3";"00";"01";"05";"11";"2013SJ00";"100";"100";;"40";"40";;"60";"60";;"60";"60";;;;"0";;"0";
"623";"3";"00";"01";"05";"12";"2013SJ00";"60";"50";;"40";"30";;"20";"20";;"20";"20";"0";;"0";;"0";"0";"0"
"631";"3";"00";"01";"06";"00";"2013SJ00";"29930";"26490";"3450";"13560";"11610";"1950";"16380";"14880";"1500";"15930";"14510";"1420";"0";"0";"0";"450";"370";"80"
"639";"3";"00";"01";"06";"01";"2013SJ00";"1140";"1130";;"1130";"1120";;;;"0";"0";"0";"0";"0";"0";"0";;;"0"
"647";"3";"00";"01";"06";"02";"2013SJ00";"12980";"12670";"310";"6190";"5920";"270";"6790";"6750";"50";"6640";"6610";"40";"0";"0";"0";"150";"140";"10"
"655";"3";"00";"01";"06";"03";"2013SJ00";"10890";"10070";"820";"3730";"3240";"490";"7160";"6830";"330";"7000";"6700";"300";"0";"0";"0";"160";"130";"30"
"663";"3";"00";"01";"06";"04";"2013SJ00";"2540";"1910";"630";"1270";"950";"320";"1270";"960";"310";"1220";"920";"300";"0";"0";"0";"60";"50";"10"
"671";"3";"00";"01";"06";"05";"2013SJ00";"1620";"620";"1000";"900";"340";"560";"720";"280";"450";"680";"250";"430";"0";"0";"0";"50";"30";"20"
"679";"3";"00";"01";"06";"06";"2013SJ00";"760";"90";"670";"340";"40";"310";"420";"50";"370";"390";"40";"360";"0";"0";"0";"30";"20";"10"
"687";"3";"00";"01";"06";"07";"2013SJ00";"21140";"18610";"2530";"8460";"7170";"1290";"12680";"11440";"1240";"12320";"11140";"1180";"0";"0";"0";"360";"300";"60"
"695";"3";"00";"01";"06";"08";"2013SJ00";"6110";"5480";"620";"3760";"3280";"480";"2340";"2200";"140";"2270";"2150";"130";"0";"0";"0";"70";"50";"20"
"703";"3";"00";"01";"06";"09";"2013SJ00";"2690";"2400";"300";"1340";"1150";"180";"1360";"1240";"110";"1330";"1220";"110";"0";"0";"0";"20";"20";
"711";"3";"00";"01";"06";"10";"2013SJ00";"28530";"25150";"3380";"12840";"10940";"1900";"15690";"14210";"1480";"15240";"13840";"1400";"0";"0";"0";"450";"370";"80"
"719";"3";"00";"01";"06";"11";"2013SJ00";"620";"580";"40";"320";"290";"20";"310";"290";"10";"300";"290";"10";"0";"0";"0";;;"0"
"727";"3";"00";"01";"06";"12";"2013SJ00";"790";"760";"30";"410";"380";"20";"380";"370";;"380";"370";;"0";"0";"0";;;"0"
"735";"3";"00";"01";"07";"00";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"743";"3";"00";"01";"07";"01";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"751";"3";"00";"01";"07";"02";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"759";"3";"00";"01";"07";"03";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"767";"3";"00";"01";"07";"04";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"775";"3";"00";"01";"07";"05";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"783";"3";"00";"01";"07";"06";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"791";"3";"00";"01";"07";"07";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"799";"3";"00";"01";"07";"08";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"807";"3";"00";"01";"07";"09";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"815";"3";"00";"01";"07";"10";"2013SJ00";;;"0";;;"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"823";"3";"00";"01";"07";"11";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"831";"3";"00";"01";"07";"12";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"839";"3";"00";"01";"08";"00";"2013SJ00";"15090";"11950";"3140";"6210";"4860";"1350";"8890";"7100";"1790";"8550";"7070";"1480";"260";"0";"260";"80";"30";"50"
"847";"3";"00";"01";"08";"01";"2013SJ00";"390";"390";;"390";"390";;;;"0";;;"0";"0";"0";"0";;;"0"
"855";"3";"00";"01";"08";"02";"2013SJ00";"6160";"5970";"190";"2800";"2670";"130";"3360";"3300";"60";"3340";"3280";"60";"0";"0";"0";"20";"20";
"863";"3";"00";"01";"08";"03";"2013SJ00";"5120";"4510";"610";"1600";"1340";"260";"3520";"3180";"340";"3480";"3170";"300";"30";"0";"30";"20";;"10"
"871";"3";"00";"01";"08";"04";"2013SJ00";"1230";"760";"480";"490";"320";"170";"740";"430";"310";"680";"430";"250";"60";"0";"60";;;
"879";"3";"00";"01";"08";"05";"2013SJ00";"1120";"280";"840";"500";"130";"370";"630";"160";"470";"550";"160";"390";"60";"0";"60";"20";;"10"
"887";"3";"00";"01";"08";"06";"2013SJ00";"1070";"50";"1020";"440";"20";"420";"640";"30";"610";"500";"30";"470";"120";"0";"120";"10";"0";"10"
"895";"3";"00";"01";"08";"07";"2013SJ00";"11160";"8710";"2440";"3960";"3010";"950";"7200";"5710";"1490";"6900";"5680";"1220";"230";"0";"230";"60";"20";"40"
"903";"3";"00";"01";"08";"08";"2013SJ00";"2870";"2440";"430";"1790";"1500";"290";"1080";"940";"150";"1070";"940";"130";"10";"0";"10";;;
"911";"3";"00";"01";"08";"09";"2013SJ00";"1060";"800";"260";"460";"350";"110";"600";"450";"150";"580";"450";"130";"20";"0";"20";;;
"919";"3";"00";"01";"08";"10";"2013SJ00";"14850";"11770";"3080";"6060";"4740";"1330";"8790";"7030";"1760";"8450";"7000";"1450";"260";"0";"260";"70";"30";"50"
"927";"3";"00";"01";"08";"11";"2013SJ00";"110";"80";"30";"50";"40";"10";"60";"40";"20";"60";"40";"20";;"0";;"0";"0";"0"
"935";"3";"00";"01";"08";"12";"2013SJ00";"130";"110";"20";"90";"80";"10";"30";"20";"10";"30";"20";"10";"0";"0";"0";;;"0"
"943";"3";"00";"01";"09";"00";"2013SJ00";"3850";"3570";"280";"1150";"1020";"120";"2710";"2550";"150";"2220";"2130";"90";"470";"410";"70";"20";"20";"0"
"951";"3";"00";"01";"09";"01";"2013SJ00";"90";"90";"0";"90";"90";"0";;;"0";;;"0";"0";"0";"0";"0";"0";"0"
"959";"3";"00";"01";"09";"02";"2013SJ00";"1180";"1170";"10";"470";"460";;"710";"710";;"690";"690";;"10";"10";"0";;;"0"
"967";"3";"00";"01";"09";"03";"2013SJ00";"1730";"1680";"60";"340";"310";"30";"1390";"1370";"20";"1160";"1150";;"220";"210";"10";;;"0"
"975";"3";"00";"01";"09";"04";"2013SJ00";"450";"380";"70";"130";"100";"30";"320";"290";"30";"210";"190";"10";"110";"90";"20";;;"0"
"983";"3";"00";"01";"09";"05";"2013SJ00";"300";"210";"90";"80";"50";"30";"210";"150";"60";"110";"70";"40";"110";"80";"20";"0";"0";"0"
"991";"3";"00";"01";"09";"06";"2013SJ00";"100";"50";"50";"40";"20";"20";"60";"30";"40";"40";"10";"30";"20";"10";;;;"0"
"999";"3";"00";"01";"09";"07";"2013SJ00";"2560";"2360";"200";"730";"640";"80";"1840";"1720";"120";"1640";"1570";"70";"190";"130";"50";"20";"20";"0"
"1007";"3";"00";"01";"09";"08";"2013SJ00";"390";"360";"30";"160";"140";"20";"230";"220";"10";"170";"160";;"70";"60";;;;"0"
"1015";"3";"00";"01";"09";"09";"2013SJ00";"900";"850";"50";"260";"240";"20";"630";"610";"20";"420";"400";"20";"220";"210";;;;"0"
"1023";"3";"00";"01";"09";"10";"2013SJ00";"3130";"2880";"250";"970";"860";"110";"2170";"2020";"140";"1920";"1840";"80";"230";"170";"60";"20";"20";"0"
"1031";"3";"00";"01";"09";"11";"2013SJ00";"510";"490";"20";"130";"120";"10";"380";"370";"10";"230";"220";;"150";"150";;"0";"0";"0"
"1039";"3";"00";"01";"09";"12";"2013SJ00";"210";"210";;"50";"50";;"160";"160";;"70";"70";;"90";"90";"0";"0";"0";"0"
"1047";"3";"00";"01";"10";"00";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1055";"3";"00";"01";"10";"01";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1063";"3";"00";"01";"10";"02";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1071";"3";"00";"01";"10";"03";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1079";"3";"00";"01";"10";"04";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1087";"3";"00";"01";"10";"05";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1095";"3";"00";"01";"10";"06";"2013SJ00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1103";"3";"00";"01";"10";"07";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1111";"3";"00";"01";"10";"08";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1119";"3";"00";"01";"10";"09";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1127";"3";"00";"01";"10";"10";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1135";"3";"00";"01";"10";"11";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1143";"3";"00";"01";"10";"12";"2013SJ00";;;"0";;;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1151";"3";"00";"01";"11";"00";"2013SJ00";"32440";"25550";"6890";"15630";"12300";"3340";"16810";"13250";"3560";"15650";"12730";"2920";"590";"170";"420";"570";"350";"220"
"1159";"3";"00";"01";"11";"01";"2013SJ00";"80";"80";;"80";"80";;;;"0";"0";"0";"0";"0";"0";"0";;;"0"
"1167";"3";"00";"01";"11";"02";"2013SJ00";"9560";"9000";"560";"7340";"6890";"450";"2220";"2110";"110";"2050";"1960";"90";;;"0";"170";"150";"30"
"1175";"3";"00";"01";"11";"03";"2013SJ00";"14360";"12800";"1560";"4550";"3770";"780";"9810";"9030";"780";"9530";"8860";"660";"110";"60";"60";"170";"120";"60"
"1183";"3";"00";"01";"11";"04";"2013SJ00";"3710";"2480";"1220";"1570";"1040";"530";"2140";"1450";"690";"1940";"1380";"560";"130";"20";"110";"70";"40";"30"
"1191";"3";"00";"01";"11";"05";"2013SJ00";"2760";"850";"1910";"1230";"390";"850";"1530";"460";"1070";"1270";"400";"870";"190";"40";"150";"80";"30";"50"
"1199";"3";"00";"01";"11";"06";"2013SJ00";"1980";"340";"1640";"870";"140";"730";"1110";"200";"910";"880";"130";"750";"160";"50";"110";"70";"20";"50"
"1207";"3";"00";"01";"11";"07";"2013SJ00";"23860";"18320";"5540";"10120";"7680";"2440";"13740";"10630";"3110";"12730";"10190";"2550";"530";"150";"380";"480";"300";"180"
"1215";"3";"00";"01";"11";"08";"2013SJ00";"6610";"5670";"940";"4510";"3820";"690";"2100";"1850";"250";"2020";"1810";"210";"20";;"20";"60";"40";"20"
"1223";"3";"00";"01";"11";"09";"2013SJ00";"1970";"1560";"410";"1010";"790";"210";"970";"770";"200";"900";"740";"170";"30";"10";"20";"30";"20";"10"
"1231";"3";"00";"01";"11";"10";"2013SJ00";"32070";"25240";"6830";"15370";"12070";"3290";"16700";"13170";"3540";"15550";"12650";"2900";"590";"170";"420";"570";"350";"220"
"1239";"3";"00";"01";"11";"11";"2013SJ00";"100";"70";"30";"60";"40";"20";"40";"30";;"40";"30";;;;"0";;;"0"
"1247";"3";"00";"01";"11";"12";"2013SJ00";"270";"240";"40";"210";"180";"30";"70";"60";"10";"70";"60";"10";"0";"0";"0";;;"0"
"1255";"3";"00";"01";"12";"00";"2013SJ00";"39980";"35490";"4500";"14630";"12730";"1900";"25360";"22750";"2600";"23850";"22290";"1560";"1350";"350";"1000";"160";"120";"50"
"1263";"3";"00";"01";"12";"01";"2013SJ00";"2800";"2790";"10";"2790";"2780";"10";;;"0";;;"0";"0";"0";"0";;;"0"
"1271";"3";"00";"01";"12";"02";"2013SJ00";"21540";"21270";"280";"6770";"6580";"190";"14780";"14690";"90";"14580";"14520";"60";"140";"120";"30";"60";"50";
"1279";"3";"00";"01";"12";"03";"2013SJ00";"10670";"9510";"1160";"3090";"2600";"500";"7580";"6910";"670";"7190";"6790";"410";"340";"90";"250";"50";"40";
"1287";"3";"00";"01";"12";"04";"2013SJ00";"2130";"1330";"800";"870";"560";"310";"1260";"760";"500";"990";"710";"280";"260";"40";"220";"20";"10";
"1295";"3";"00";"01";"12";"05";"2013SJ00";"1640";"430";"1210";"660";"160";"490";"990";"270";"720";"630";"210";"420";"330";"50";"280";"20";;"20"
"1303";"3";"00";"01";"12";"06";"2013SJ00";"1200";"160";"1030";"450";"50";"400";"750";"120";"630";"460";"70";"390";"280";"50";"230";"10";;
"1311";"3";"00";"01";"12";"07";"2013SJ00";"32940";"29130";"3810";"11180";"9680";"1500";"21760";"19450";"2310";"20390";"19020";"1360";"1230";"330";"910";"140";"100";"40"
"1319";"3";"00";"01";"12";"08";"2013SJ00";"4450";"4070";"380";"2300";"2040";"260";"2160";"2040";"120";"2090";"2010";"80";"50";"10";"40";"20";"10";
"1327";"3";"00";"01";"12";"09";"2013SJ00";"2590";"2280";"310";"1150";"1010";"140";"1450";"1270";"180";"1370";"1250";"120";"70";"10";"60";;;
"1335";"3";"00";"01";"12";"10";"2013SJ00";"39710";"35230";"4480";"14470";"12590";"1880";"25240";"22640";"2600";"23730";"22180";"1550";"1350";"350";"1000";"160";"120";"50"
"1343";"3";"00";"01";"12";"11";"2013SJ00";"120";"110";;"70";"70";;"50";"50";;"50";"50";;"0";"0";"0";"0";"0";"0"
"1351";"3";"00";"01";"12";"12";"2013SJ00";"150";"140";"10";"80";"80";;"70";"70";;"70";"70";"0";;"0";;"0";"0";"0"
